index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
166,0.0,5092,9233,10277,5883,0.0,5115,9549,10257,6157
165,0.0,5072,9213,10267,5874,0.0,5124,9568,10276,6177
164,0.0,5063,9194,10238,5845,0.0,5124,9587,10286,6205
163,0.0,5053,9175,10229,5835,0.0,5163,9597,10296,6225
162,0.0,5034,9155,10219,5806,0.0,5163,9606,10286,6234
161,0.0,5034,9136,10200,5796,0.0,5182,9635,10315,6263
160,0.0,5024,9107,10180,5767,0.0,5211,9654,10325,6292
159,0.0,5015,9088,10161,5748,0.0,5220,9663,10325,6301
158,0.0,5005,9078,10152,5748,0.0,5239,9682,10325,6311
157,0.0,4986,9059,10123,5738,0.0,5258,9701,10325,6340
156,0.0,4977,9039,10103,5719,0.0,5268,9711,10364,6359
155,0.0,4967,9020,10075,5709,0.0,5297,9739,10373,6368
154,0.0,4957,9000,10065,5680,0.0,5316,9749,10393,6397
153,0.0,4948,8981,10055,5680,0.0,5335,9758,10393,6426
152,0.0,4948,8962,10026,5651,0.0,5354,9777,10393,6426
151,0.0,4938,8942,10007,5632,0.0,5383,9787,10393,6455
150,0.0,4929,8923,9998,5622,0.0,5392,9806,10393,6484
149,0.0,4900,8904,9988,5612,0.0,5402,9815,10422,6503
148,0.0,4909,8884,9969,5603,0.0,5431,9834,10412,6512
147,0.0,4900,8875,9949,5603,0.0,5440,9844,10432,6551
146,0.0,4900,8855,9921,5593,0.0,5459,9853,10432,6551
145,0.0,4900,8846,9901,5573,0.0,5469,9863,10441,6580
144,0.0,4890,8826,9892,5564,0.0,5488,9872,10441,6599
143,0.0,4890,8797,9872,5555,0.0,5507,9882,10461,6628
142,0.0,4881,8787,9853,5536,0.0,5526,9901,10461,6647
141,0.0,4871,8778,9824,5526,0.0,5536,9901,10461,6666
140,0.0,4861,8749,9815,5517,0.0,5564,9910,10461,6685
139,0.0,4861,8739,9795,5517,0.0,5583,9920,10470,6695
138,0.0,4861,8720,9776,5497,0.0,5603,9929,10461,6723
137,0.0,4842,8710,9757,5497,0.0,5622,9948,10470,6733
136,0.0,4842,8710,9747,5488,0.0,5622,9948,10480,6752
135,0.0,4833,8691,9728,5478,0.0,5641,9958,10480,6771
134,0.0,4823,8671,9728,5469,0.0,5661,9967,10480,6781
133,0.0,4823,8623,9709,5469,0.0,5680,9967,10490,6800
132,0.0,4823,8652,9690,5469,0.0,5690,9967,10490,6810
131,0.0,4804,8642,9680,5459,0.0,5709,9977,10500,6829
130,0.0,4804,8623,9661,5459,0.0,5719,9986,10500,6839
129,0.0,4804,8603,9651,5459,0.0,5728,9986,10500,6848
128,0.0,4794,8603,9651,5459,0.0,5748,9986,10500,6848
127,0.0,4794,8603,9632,5449,0.0,5767,9986,10500,6867
126,0.0,4794,8594,9613,5449,0.0,5777,9986,10509,6877
125,0.0,4785,8584,9603,5449,0.0,5787,9986,10509,6896
124,0.0,4775,8574,9584,5449,0.0,5796,9986,10519,6896
123,0.0,4775,8565,9584,5449,0.0,5816,9986,10519,6896
122,0.0,4765,8565,9564,5449,0.0,5825,9986,10529,6906
121,0.0,4765,8565,9555,5449,0.0,5825,9986,10529,6906
120,0.0,4765,8565,9545,5449,0.0,5845,9986,10538,6906
119,0.0,4756,8565,9545,5440,0.0,5854,9977,10548,6906
118,0.0,4756,8565,9536,5440,0.0,5864,9967,10548,6906
117,0.0,4746,8565,9536,5449,0.0,5864,9967,10548,6906
116,0.0,4746,8565,9536,5440,0.0,5874,9967,10538,6906
115,0.0,4737,8565,9545,5449,0.0,5874,9967,10548,6906
114,0.0,4737,8565,9536,5449,0.0,5883,9967,10548,6896
113,0.0,4727,8565,9545,5449,0.0,5883,9948,10567,6887
112,0.0,4718,8574,9545,5449,0.0,5883,9939,10567,6877
111,0.0,4727,8574,9545,5459,0.0,5874,9929,10567,6867
110,0.0,4718,8594,9555,5459,0.0,5874,9920,10567,6858
109,0.0,4718,8603,9564,5459,0.0,5883,9920,10567,6848
108,0.0,4718,8603,9555,5469,0.0,5874,9910,10577,6848
107,0.0,4718,8613,9564,5469,0.0,5874,9901,10567,6848
106,0.0,4718,8652,9564,5478,0.0,5874,9891,10577,6839
105,0.0,4718,8652,9564,5488,0.0,5874,9891,10567,6819
104,0.0,4718,8662,9584,5497,0.0,5874,9872,10577,6810
103,0.0,4718,8691,9574,5517,0.0,5864,9872,10577,6800
102,0.0,4718,8710,9603,5517,0.0,5854,9853,10567,6781
101,0.0,4718,8720,9584,5536,0.0,5845,9853,10587,6752
100,0.0,4718,8729,9584,5545,0.0,5835,9825,10577,6723
99,0.0,4727,8758,9593,5555,0.0,5825,9815,10577,6714
98,0.0,4727,8778,9613,5583,0.0,5816,9806,10577,6685
97,0.0,4727,8797,9622,5603,0.0,5796,9796,10577,6656
96,0.0,4737,8826,9632,5603,0.0,5787,9787,10587,6628
95,0.0,4737,8836,9632,5622,0.0,5777,9768,10587,6608
94,0.0,4746,8855,9651,5641,0.0,5748,9749,10597,6580
93,0.0,4746,8904,9680,5670,0.0,5738,9730,10606,6551
92,0.0,4746,8913,9690,5690,0.0,5728,9720,10606,6532
91,0.0,4746,8962,9718,5709,0.0,5709,9701,10597,6493
