index,flh,flk,frh,frk,blh,blk,brh,brk
17,5394,9349,10148,6048,5211,9436, 10131, 5994
16,5394,9330,10148,6038,5220,9454, 10141, 6023
15,5384,9301,10119,6029,5239,9473, 10160, 6033
14,5365,9281,10119,6009,5258,9483, 10170, 6052
13,5365,9262,10090,5990,5278,9502, 10179, 6071
12,5346,9233,10071,5970,5297,9521, 10179, 6090
11,5337,9213,10051,5922,5306,9559, 10189, 6119
10,5318,9184,10023,5883,5325,9578, 10199, 6148
9,5309,9155,9994,5854,5354,9606, 10218, 6167
8,5299,9126,9984,5825,5392,9644, 10228, 6205
7,5280,9097,9955,5787,5411,9682, 10228, 6225
6,5271,9068,9917,5757,5440,9711, 10247, 6273
5,5252,9039,9897,5748,5459,9739, 10257, 6301
4,5233,9010,9869,5719,5498,9768, 10286, 6321
3,5214,8981,9830,5690,5517,9806, 10315, 6368
2,5176,8942,9782,5661,5545,9815, 10335, 6407
1,5148,8904,9763,5641,5573,9853, 10383, 6445
0,5100,8865,9734,5622,5612,9882, 10422, 6493
99,5063,8826,9695,5593,5641,9901, 10461, 6541
98,4996,8797,9657,5583,5690,9901, 10500, 6580
97,4977,8758,9618,5564,5719,9910, 10548, 6618
96,4949,8720,9580,5555,5757,9929, 10577, 6637
95,4911,8710,9532,5545,5787,9958, 10616, 6675
94,4873,8720,9503,5536,5825,9967, 10655, 6695
93,4854,8729,9455,5526,5845,9967, 10674, 6695
92,4845,8749,9427,5517,5874,9977, 10694, 6685
91,4826,8787,9397,5526,5874,9977, 10713, 6647
90,4807,8816,9397,5536,5874,9967, 10713, 6637
89,4807,8836,9407,5555,5874,9958, 10723, 6608
